Time,STFT,LTFT,Pressure
55388.309103,-3.125,-3.90625,56.0
55388.968103,-3.90625,-3.90625,51.0
55389.615103,0.0,-5.46875,52.0
55390.308103,-3.90625,-3.90625,50.0
55390.984103,-5.46875,-3.90625,51.0
55391.728103,-3.90625,-5.46875,53.0
55392.424103,-6.25,-3.90625,53.0
55393.126103,-7.03125,-3.90625,52.0
55393.818103,-10.15625,-3.125,46.0
55394.525103,-10.15625,-3.125,33.0
55395.267103,-7.8125,-3.90625,44.0
55395.989103,-7.03125,-3.90625,49.0
55396.690103,-2.34375,-5.46875,51.0
55397.367103,-3.90625,-5.46875,60.0
55398.052103,-3.125,0.0,58.0
55398.730103,-10.15625,-2.34375,29.0
55399.378103,0.0,-2.34375,41.0
55400.055103,0.0,-5.46875,36.0
55400.747103,0.0,-3.90625,57.0
55401.436103,-2.34375,-3.90625,51.0
55402.121103,-2.34375,-3.125,43.0
55402.817103,0.0,-3.125,42.0
55403.541103,0.0,99.21875,25.0
55404.227103,0.0,99.21875,22.0
55405.011103,0.0,2.34375,22.0
55405.684103,0.0,3.90625,21.0
55406.360103,0.0,99.21875,21.0
55407.067103,0.0,99.21875,22.0
55407.757103,0.0,99.21875,21.0
55408.451103,0.0,2.34375,22.0
55409.155103,0.0,3.90625,22.0
55409.851103,0.0,2.34375,21.0
55410.530103,0.0,99.21875,22.0
55411.229103,0.0,99.21875,22.0
55411.939103,0.0,99.21875,22.0
55412.626103,0.0,99.21875,22.0
55413.329103,0.0,99.21875,22.0
55414.005103,0.0,99.21875,20.0
55414.704103,0.0,0.0,23.0
55415.408103,0.78125,1.5625,30.0
55416.112103,0.78125,0.0,37.0
55416.792103,0.0,0.0,42.0
55417.495103,0.0,0.0,45.0
55418.173103,-3.125,0.0,45.0
55418.858103,-6.25,-3.90625,68.0
55419.536103,-2.34375,-6.25,93.0
55420.212103,0.0,-7.03125,96.0
55420.915103,0.0,-7.03125,95.0
55421.593103,0.0,-7.03125,96.0
55422.294103,0.0,-7.03125,95.0
55422.982103,0.0,-7.03125,94.0
55423.710103,0.0,-6.25,91.0
55424.379103,0.0,-7.03125,94.0
55425.102103,2.34375,-7.03125,95.0
55425.818103,4.6875,-7.03125,94.0
55426.519103,0.0,99.21875,94.0
55427.192103,0.0,99.21875,22.0
55427.882103,0.0,99.21875,20.0
55428.579103,0.0,99.21875,20.0
55429.307103,0.0,99.21875,20.0
55430.020103,0.0,-7.03125,24.0
55430.695103,3.90625,-7.03125,93.0
55431.423103,0.0,-7.03125,96.0
55432.131103,0.0,-7.03125,96.0
55432.819103,6.25,99.21875,92.0
55433.504103,0.0,99.21875,19.0
55434.183103,0.0,99.21875,20.0
55434.848103,0.0,2.34375,20.0
55435.552103,0.0,4.6875,21.0
55436.245103,0.0,99.21875,21.0
55436.972103,0.0,99.21875,22.0
55437.659103,0.0,99.21875,22.0
55438.360103,0.0,99.21875,22.0
55439.027103,0.0,99.21875,21.0
55439.765103,1.5625,-5.46875,35.0
55440.463103,0.0,-6.25,76.0
55441.181103,8.59375,-6.25,93.0
